canonical_name,object_type,applies,background,compares_against,critiques,extends,uses,unclear,total
BERT,model,73,18966,2358,225,524,3393,0,25539
method,method,406,1294,2902,1140,1145,11792,0,18679
LSTM,model,43,13882,1593,131,378,1745,0,17772
BLEU,metric,38,10360,1640,384,171,3229,0,15822
Transformer,model,31,11761,921,152,272,1776,0,14913
CRF,method,22,10237,760,69,251,961,0,12300
WordNet,dataset_or_database,18,10250,415,116,185,793,0,11777
accuracy,metric,28,9042,1710,123,235,534,0,11672
seq2seq,model,17,9528,666,132,213,584,0,11140
dataset_or_database,dataset_or_database,81,442,497,253,118,6918,0,8309
SemEval,benchmark_or_protocol,14,6997,411,24,71,611,0,8128
attention mechanism,method,11,7020,300,82,178,385,0,7976
unknown,unknown,3,514,4896,1408,123,352,0,7296
HMM,method,6,4836,299,59,116,403,0,5719
Penn Treebank,dataset_or_database,28,4309,239,40,58,965,0,5639
model,model,39,1471,2058,280,143,1616,0,5607
ROUGE,metric,7,3861,400,160,37,1120,0,5585
GloVe,model,7,2888,489,34,77,1955,0,5450
word2vec,model,3,3615,325,25,76,708,0,4752
software_or_tool,software_or_tool,60,20,206,28,50,3640,0,4004
ELMo,model,11,3082,316,33,85,455,0,3982
Moses,software_or_tool,15,1347,370,16,33,1882,0,3663
METEOR,metric,5,2263,265,76,28,703,0,3340
FrameNet,dataset_or_database,13,3062,55,16,41,148,0,3335
SQuAD,dataset_or_database,14,2573,235,28,34,439,0,3323
WMT,benchmark_or_protocol,7,2317,276,15,54,626,0,3295
F1,metric,10,1908,870,13,95,319,0,3215
benchmark_or_protocol,benchmark_or_protocol,17,146,1384,57,18,1014,0,2636
PropBank,dataset_or_database,7,2355,63,9,30,168,0,2632
GIZA++,software_or_tool,5,1196,217,16,32,1035,0,2501
BERT,method,2,666,26,4,29,43,0,770
attention mechanism,model,0,547,41,2,15,35,0,640
BERT,metric,3,333,140,3,4,56,0,539
Transformer,method,2,324,20,3,6,31,0,386
LSTM,method,2,294,30,0,13,47,0,386
LSTM,metric,0,219,104,5,8,20,0,356
Penn Treebank,metric,1,243,44,5,2,20,0,315
GloVe,method,0,218,9,0,5,26,0,258
WordNet,metric,1,180,24,2,3,11,0,221
CRF,model,0,179,15,3,4,13,0,214
CRF,metric,0,129,58,0,3,9,0,199
ELMo,method,3,162,4,0,7,12,0,188
BERT,dataset_or_database,0,143,14,2,0,27,0,186
FrameNet,method,0,167,2,1,6,3,0,179
HMM,metric,0,129,34,0,6,5,0,174
Transformer,metric,0,119,30,0,1,15,0,165
BERT,benchmark_or_protocol,0,133,23,0,0,6,0,162
SemEval,metric,0,88,42,0,0,11,0,141
PropBank,method,0,120,3,1,2,10,0,136
ROUGE,model,0,78,37,0,0,18,0,133
ELMo,metric,1,92,15,1,1,8,0,118
word2vec,metric,0,88,20,2,0,6,0,116
SQuAD,metric,0,59,14,0,1,30,0,104
METEOR,method,0,80,4,0,1,17,0,102
BERT,task,0,87,1,0,0,0,0,88
GloVe,metric,0,60,15,1,0,12,0,88
BERT,claim_or_finding,0,80,3,2,0,0,0,85
BLEU,model,0,55,19,0,1,6,0,81
GIZA++,metric,0,44,5,0,0,29,0,78
attention mechanism,metric,0,62,9,1,1,1,0,74
ROUGE,method,0,68,2,0,1,3,0,74
METEOR,benchmark_or_protocol,0,51,20,0,0,2,0,73
BERT,theory_or_concept,0,72,0,0,0,0,0,72
PropBank,theory_or_concept,0,69,1,1,1,0,0,72
METEOR,model,0,45,12,0,1,13,0,71
METEOR,dataset_or_database,0,49,1,0,0,19,0,69
SQuAD,model,0,55,7,1,0,5,0,68
Transformer,benchmark_or_protocol,1,56,7,0,2,0,0,66
HMM,model,0,59,3,0,0,1,0,63
Moses,method,0,35,9,0,0,18,0,62
Moses,metric,0,21,16,0,0,22,0,59
seq2seq,method,0,46,3,0,2,7,0,58
METEOR,software_or_tool,0,17,3,0,0,38,0,58
WordNet,model,0,39,7,1,0,4,0,51
BERT,software_or_tool,0,5,3,0,1,42,0,51
Transformer,software_or_tool,0,8,1,0,1,40,0,50
word2vec,method,0,39,0,0,3,6,0,48
SemEval,model,0,43,2,0,0,2,0,47
WMT,metric,0,38,3,1,1,4,0,47
PropBank,metric,0,40,3,1,1,1,0,46
FrameNet,benchmark_or_protocol,0,45,1,0,0,0,0,46
BLEU,method,0,33,3,0,3,7,0,46
GloVe,dataset_or_database,0,34,2,0,0,10,0,46
WordNet,method,0,41,2,0,1,1,0,45
GIZA++,method,0,13,6,0,0,25,0,44
PropBank,task,1,40,0,0,0,0,0,41
FrameNet,task,0,41,0,0,0,0,0,41
Transformer,claim_or_finding,0,40,0,0,0,0,0,40
ROUGE,dataset_or_database,0,26,1,0,0,13,0,40
accuracy,method,0,26,4,0,2,7,0,39
Transformer,dataset_or_database,0,30,1,0,0,8,0,39
GloVe,claim_or_finding,0,38,0,1,0,0,0,39
LSTM,dataset_or_database,0,22,13,0,0,4,0,39
BLEU,software_or_tool,0,10,9,0,1,17,0,37
LSTM,software_or_tool,0,3,3,0,0,30,0,36
F1,method,0,21,2,0,3,10,0,36
FrameNet,metric,0,33,2,1,0,0,0,36
GloVe,benchmark_or_protocol,0,22,8,0,1,4,0,35
ROUGE,claim_or_finding,0,33,1,0,0,0,0,34
seq2seq,metric,0,7,20,0,0,7,0,34
FrameNet,theory_or_concept,0,34,0,0,0,0,0,34
LSTM,benchmark_or_protocol,0,23,8,0,0,1,0,32
SemEval,dataset_or_database,0,28,1,0,0,3,0,32
F1,benchmark_or_protocol,0,20,10,0,0,1,0,31
WordNet,benchmark_or_protocol,0,28,2,0,0,0,0,30
F1,dataset_or_database,0,25,1,1,0,3,0,30
Transformer,task,0,29,1,0,0,0,0,30
Penn Treebank,method,0,12,5,3,2,6,0,28
SQuAD,benchmark_or_protocol,0,16,4,0,0,7,0,27
WordNet,task,0,27,0,0,0,0,0,27
FrameNet,model,0,23,2,0,1,1,0,27
ROUGE,benchmark_or_protocol,0,12,9,1,0,4,0,26
LSTM,claim_or_finding,0,23,2,1,0,0,0,26
GloVe,theory_or_concept,0,25,0,1,0,0,0,26
WMT,model,0,13,6,0,1,6,0,26
GloVe,task,0,23,0,0,0,0,0,23
METEOR,claim_or_finding,0,21,1,1,0,0,0,23
METEOR,task,0,22,0,0,0,0,0,22
LSTM,task,1,20,0,0,0,0,0,21
GloVe,software_or_tool,0,11,0,0,2,7,0,20
Transformer,theory_or_concept,0,20,0,0,0,0,0,20
SemEval,method,0,18,0,0,1,0,0,19
ELMo,claim_or_finding,0,18,0,1,0,0,0,19
ELMo,benchmark_or_protocol,0,16,3,0,0,0,0,19
BLEU,dataset_or_database,0,15,2,0,1,0,0,18
ELMo,software_or_tool,0,3,5,0,1,9,0,18
ROUGE,theory_or_concept,0,18,0,0,0,0,0,18
GIZA++,model,0,11,5,0,1,0,0,17
WordNet,theory_or_concept,0,15,0,0,1,0,0,16
CRF,dataset_or_database,0,8,7,1,0,0,0,16
HMM,task,0,16,0,0,0,0,0,16
Penn Treebank,benchmark_or_protocol,0,12,1,0,1,2,0,16
PropBank,model,0,11,4,1,0,0,0,16
BLEU,benchmark_or_protocol,0,13,1,0,0,2,0,16
PropBank,benchmark_or_protocol,0,13,0,0,0,2,0,15
ELMo,dataset_or_database,0,9,3,0,0,3,0,15
ROUGE,software_or_tool,0,2,1,0,0,11,0,14
seq2seq,software_or_tool,0,2,0,0,0,12,0,14
accuracy,dataset_or_database,0,12,0,0,0,2,0,14
CRF,task,0,14,0,0,0,0,0,14
GIZA++,benchmark_or_protocol,0,10,0,0,0,3,0,13
Moses,model,0,6,3,0,0,4,0,13
accuracy,benchmark_or_protocol,0,6,6,0,0,1,0,13
word2vec,dataset_or_database,0,10,0,0,0,2,0,12
word2vec,claim_or_finding,0,12,0,0,0,0,0,12
F1,claim_or_finding,0,11,1,0,0,0,0,12
ELMo,theory_or_concept,0,12,0,0,0,0,0,12
ELMo,task,0,11,0,0,0,0,0,11
Penn Treebank,model,0,3,2,1,0,4,0,10
FrameNet,claim_or_finding,0,10,0,0,0,0,0,10
CRF,benchmark_or_protocol,0,10,0,0,0,0,0,10
WMT,method,0,7,0,0,0,3,0,10
accuracy,claim_or_finding,0,6,4,0,0,0,0,10
attention mechanism,task,0,9,1,0,0,0,0,10
PropBank,claim_or_finding,0,8,2,0,0,0,0,10
ROUGE,task,0,9,0,0,0,0,0,9
HMM,software_or_tool,0,2,2,0,0,5,0,9
SQuAD,method,0,8,0,0,0,1,0,9
METEOR,theory_or_concept,0,9,0,0,0,0,0,9
seq2seq,dataset_or_database,1,4,2,0,0,2,0,9
word2vec,software_or_tool,0,2,0,0,0,7,0,9
GIZA++,dataset_or_database,1,4,0,0,0,3,0,8
accuracy,model,0,5,2,0,0,1,0,8
PropBank,software_or_tool,0,3,0,0,1,4,0,8
F1,task,0,7,0,0,0,0,0,7
Moses,dataset_or_database,0,5,2,0,0,0,0,7
HMM,benchmark_or_protocol,0,7,0,0,0,0,0,7
F1,software_or_tool,0,1,2,0,0,4,0,7
F1,model,0,2,3,0,0,2,0,7
WordNet,software_or_tool,0,2,0,0,1,4,0,7
WMT,software_or_tool,0,4,0,0,0,3,0,7
CRF,software_or_tool,0,1,0,0,0,6,0,7
WMT,dataset_or_database,0,5,1,0,0,0,0,6
CRF,claim_or_finding,0,6,0,0,0,0,0,6
Penn Treebank,software_or_tool,0,2,0,0,0,4,0,6
seq2seq,benchmark_or_protocol,0,2,4,0,0,0,0,6
WordNet,claim_or_finding,0,5,0,0,1,0,0,6
Penn Treebank,task,1,5,0,0,0,0,0,6
attention mechanism,benchmark_or_protocol,0,4,1,0,0,0,0,5
word2vec,benchmark_or_protocol,0,4,1,0,0,0,0,5
word2vec,task,0,5,0,0,0,0,0,5
word2vec,theory_or_concept,0,4,0,1,0,0,0,5
HMM,dataset_or_database,0,5,0,0,0,0,0,5
Moses,benchmark_or_protocol,1,2,0,0,0,2,0,5
SQuAD,task,0,4,0,0,0,0,0,4
SemEval,task,0,3,0,0,0,0,0,3
PropBank,unknown,0,3,0,0,0,0,0,3
attention mechanism,dataset_or_database,0,3,0,0,0,0,0,3
LSTM,theory_or_concept,0,3,0,0,0,0,0,3
accuracy,theory_or_concept,0,3,0,0,0,0,0,3
CRF,theory_or_concept,0,3,0,0,0,0,0,3
BLEU,claim_or_finding,0,2,0,0,0,0,0,2
ROUGE,unknown,0,2,0,0,0,0,0,2
seq2seq,theory_or_concept,0,2,0,0,0,0,0,2
SemEval,claim_or_finding,0,1,1,0,0,0,0,2
SemEval,software_or_tool,1,0,0,0,0,1,0,2
accuracy,task,0,1,0,0,1,0,0,2
accuracy,software_or_tool,0,1,0,0,0,1,0,2
HMM,claim_or_finding,0,1,0,0,0,0,0,1
attention mechanism,unknown,0,1,0,0,0,0,0,1
Penn Treebank,theory_or_concept,0,0,0,1,0,0,0,1
Moses,task,0,1,0,0,0,0,0,1
BERT,unknown,0,1,0,0,0,0,0,1
Moses,claim_or_finding,0,1,0,0,0,0,0,1
accuracy,unknown,0,1,0,0,0,0,0,1
attention mechanism,claim_or_finding,0,1,0,0,0,0,0,1
METEOR,unknown,0,1,0,0,0,0,0,1
LSTM,unknown,0,1,0,0,0,0,0,1
WordNet,unknown,0,1,0,0,0,0,0,1
Moses,theory_or_concept,0,1,0,0,0,0,0,1
SQuAD,claim_or_finding,0,1,0,0,0,0,0,1
FrameNet,unknown,0,1,0,0,0,0,0,1
attention mechanism,software_or_tool,0,0,0,0,0,1,0,1
HMM,theory_or_concept,0,1,0,0,0,0,0,1
Transformer,unknown,0,1,0,0,0,0,0,1
attention mechanism,theory_or_concept,0,1,0,0,0,0,0,1
FrameNet,software_or_tool,0,1,0,0,0,0,0,1
